i;n;time
0;10;0.05519398023492528
1;15;0.11123662599771222
2;20;0.1970542473917618
3;25;0.29203886452904015
4;30;0.4044505658730202
5;35;0.5499634228997579
6;40;0.7556764907488471
7;45;0.8756365791482992
8;50;1.092844392759332
9;55;1.3058344795011436
10;60;1.615899486256552
11;65;1.8191004785423956
12;70;2.119890326301004
13;75;2.420800497678968
14;80;2.7948296684764387
15;85;3.085398408784144
16;90;3.5431465778490576
17;95;3.9109874025010782
18;100;4.311844260275336
