i;n;time
0;20;0.005049391046611618
1;120;0.029257835579553415
2;220;0.059272053896233245
3;320;0.08640949964489408
4;420;0.12379821648494627
5;520;0.1611985915052898
6;620;0.1931825759635366
7;720;0.253798118556233
8;820;0.29868537695793407
9;920;0.3381697682866722
