i;n;time
0;10;0.0387966870043428
1;15;0.06448385967450321
2;20;0.09578720127901619
3;25;0.12457398718553492
4;30;0.1590383838745879
5;35;0.17658771175836563
6;40;0.2140531587190182
7;45;0.24368797013413968
8;50;0.2747961058668622
9;55;0.30181771867697904
10;60;0.3351300807128297
11;65;0.3907099925565731
12;70;0.39730091081140273
13;75;0.4711975336218117
14;80;0.46954820400997477
15;85;0.5244132143494866
16;90;0.5635062302674072
17;95;0.5849110341239054
18;100;0.6029698173321094
