i;n;time
0;10;0.028766793025796756
1;15;0.04065114201202471
2;20;0.05637616191253848
3;25;0.053063373401721764
4;30;0.07281932571883176
5;35;0.08664033161460671
6;40;0.08437491402092034
7;45;0.10481123773967466
8;50;0.11085530472851124
9;55;0.14090776187653808
10;60;0.12264079234589165
11;65;0.1529735121480571
12;70;0.18491086388514932
13;75;0.21832693921005109
14;80;0.19829072423880234
15;85;0.18659150715555795
16;90;0.1905814027775381
17;95;0.2410767122252806
18;100;0.2510444563720582
