i;n;time
0;10;0.03361612969865746
1;15;0.039950718540239905
2;20;0.04445777103990167
3;25;0.04850595756329312
4;30;0.06868626764287455
5;35;0.08172197851445162
6;40;0.0908330795735992
7;45;0.10138140109870619
8;50;0.12598482477983453
9;55;0.14346556663178944
10;60;0.1516155673079993
11;65;0.19377900846711782
12;70;0.1684532439353461
13;75;0.1759359303716792
14;80;0.1779663190508245
15;85;0.1962561386147854
16;90;0.17954250502589275
17;95;0.193481025378901
18;100;0.24547091353963424
