i;n;time
0;20;0.006315062688962314
1;120;0.03643100213083983
2;220;0.0713959617659441
3;320;0.11105554033771625
4;420;0.1555554187659638
5;520;0.20116021515635651
6;620;0.2581830101166176
7;720;0.3032733066388431
8;820;0.3577887483033848
9;920;0.4133839728417925
